ID,Treatment,PI
1,Control,0.078482492
2,Control,0.087832919
3,Control,-0.137692689
4,Control,0.170704171
5,Control,0.051482479
6,Control,0.129040315
7,Control,-0.072587115
8,Control,0.034355341
9,Control,0.175573538
10,Control,0.195352351
11,Control,0.059741941
12,Control,0.1879977
13,Control,0.280066881
14,Control,0.203468653
15,Control,0.16273048
16,Control,0.135415614
17,Control,0.015685545
18,Control,0.051526859
19,Control,0.217061261
20,Control,-0.009244325
21,Control,0.026756883
22,Control,0.037068926
23,Control,0.045157889
24,Control,0.048355674
25,Control,0.165032707
26,Control,0.074566045
27,Control,0.200330574
28,Control,0.213743374
29,Control,0.08844282
30,Control,0.214297219
31,Control,0.115084324
32,Control,0.05656938
33,Control,0.206048948
34,Control,0.080201129
35,Control,0.0058073
36,Control,0.079157055
37,Control,-0.037075883
38,Control,0.128346457
39,Control,-0.062839272
40,Control,0.095181603
41,Vaccinated,0.80006043
42,Vaccinated,0.948004807
43,Vaccinated,0.697456274
44,Vaccinated,0.868926639
45,Vaccinated,0.875561734
46,Vaccinated,0.668216303
47,Vaccinated,0.873431122
48,Vaccinated,0.863265519
49,Vaccinated,0.866639274
50,Vaccinated,0.78503314
51,Vaccinated,0.886990795
52,Vaccinated,0.846773929
53,Vaccinated,0.652658645
54,Vaccinated,0.651718859
55,Vaccinated,0.732585409
56,Vaccinated,0.731526145
57,Vaccinated,0.836193831
58,Vaccinated,0.820851461
59,Vaccinated,0.860271064
60,Vaccinated,0.817267671
61,Vaccinated,0.775365133
62,Vaccinated,0.795506378
63,Vaccinated,0.801832652
64,Vaccinated,0.643645458
65,Vaccinated,0.719392721
66,Vaccinated,0.774895099
67,Vaccinated,0.718868097
68,Vaccinated,0.766825988
69,Vaccinated,0.793567201
70,Vaccinated,0.704705677
71,Vaccinated,0.867898216
72,Vaccinated,0.850695318
73,Vaccinated,0.8686589
74,Vaccinated,0.865532707
75,Vaccinated,0.764681922
76,Vaccinated,0.685781115
77,Vaccinated,0.679099053
78,Vaccinated,0.99769103
79,Vaccinated,1.072597803
80,Vaccinated,0.819637491
81,Vaccinated,0.968991565
82,Vaccinated,0.990787303
83,Vaccinated,0.773863574
84,Vaccinated,1.08550339
85,Vaccinated,0.940342607
86,Vaccinated,0.965264709
87,Vaccinated,0.940342607
88,Vaccinated,0.886990795
89,Vaccinated,0.893819977
90,Vaccinated,0.955553928
91,Vaccinated,0.81319646
92,Vaccinated,0.953794382
93,Vaccinated,0.720010338
94,Vaccinated,0.915802605
