vaccine;antibodies
Pfizer;640.4920573
Pfizer;1385.99757
Pfizer;1326.189774
Pfizer;1929.481493
Pfizer;2202.479509
Pfizer;2301.808074
Pfizer;2627.485745
Pfizer;2686.078901
Pfizer;3066.126191
Pfizer;3348.917817
Pfizer;4268.430094
Pfizer;4662.111311
Pfizer;5205.651163
Pfizer;7088.834112
Pfizer;10088.61059
Pfizer;14044.60428
Moderna;11516.02551
Moderna;9442.689934
Moderna;8838.124184
Moderna;7573.74089
Moderna;7246.915718
Moderna;7246.915718
Moderna;6210.170932
Moderna;5812.566365
Moderna;5942.187091
Moderna;4766.076791
Moderna;4268.430094
Moderna;4268.430094
Moderna;3577.998216
Moderna;3134.504231
Moderna;2999.24282
Moderna;2933.818418
Moderna;2459.261658
Moderna;2251.597263
Moderna;2251.597263
